Applicant,LocationDescription,Address,Latitude,Longitude
Doc's of the Bay,16TH ST: CALEDONIA ST to VALENCIA ST (3072 - 3099),3092 16TH ST,37.7651759170672,-122.421595922098
Doc's of the Bay,WASHINGTON ST: SANSOME ST to HOTALING PL (500 - 549),535 WASHINGTON ST,37.7951588416202,-122.402210795235
Spice Affairs,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,37.7865580501799,-122.40103337535
Spice Affairs,SUTTER ST: CLAUDE LN to GRANT AVE (216 - 299),290 SUTTER ST,37.7899138671344,-122.405232892524
Betty McGee Creole,04TH ST: MISSION ROCK ST to CHINA BASIN ST (1200 - 1299),1201 04TH ST,0,0
Bomba,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),220 SANSOME ST,0,0
Bach Catering,03RD ST: ARMSTRONG AVE to BANCROFT AVE (5600 - 5698) -- WEST --,5600 03RD ST,0,0
Natan's Catering,03RD ST: 18TH ST to 19TH ST (2101 - 2199) -- EAST --,2101 03RD ST,0,0
Spice Affairs,STEVENSON ST: ANNIE ST to 03RD ST (149 - 199),Assessors Block /Lot,0,0
"Off the Grid Services, LLC",DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699),Assessors Block /Lot,0,0
Sun Rise Catering,FREMONT ST: NATOMA ST to HOWARD ST (170 - 199),199 FREMONT ST,0,0
Bombay Blvd.,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),561 MISSION ST,0,0
Natan's Catering,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),Assessors Block 4315/Lot03008,0,0
Chilifruit,24TH ST: MISSION ST to OSAGE ALY (3300 - 3322),Assessors Block /Lot,0,0
Halal Cart of San Francisco,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,37.7898898782098,-122.399930411351
Julie's Hot Dogs,MISSION ST: 20TH ST to CATHERINE CT (2400 - 2429),2401 MISSION ST,37.7584372443741,-122.418678308229
Halal Cart of San Francisco,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (400 - 498) -- NORTH --,1 FRONT ST,37.7917572059444,-122.398897636892
"Halal Cart, LLC",MARKET ST: 05TH ST \ CYRIL MAGNIN ST to MASON ST \ TURK ST (901 - 941) -- SOUTH --,901 MARKET ST,37.7834700660829,-122.408040736138
Bonito Poke,SANSOME ST: BUSH ST to PINE ST (100 - 199),301 PINE ST,37.7918342630555,-122.401279616596
Los 2 Cuates,DIVISADERO ST: OAK ST to FELL ST (401 - 499) -- WEST --,401 DIVISADERO ST,37.7733640531909,-122.437875225303
Los 2 Cuates,02ND ST: STILLMAN ST to BRYANT ST (454 - 499),490 02ND ST,37.78304609975,-122.39406659923
Swell Cream & Coffee,TARAVAL ST: 34TH AVE to 35TH AVE (2400 - 2499),2450 TARAVAL ST,37.7425503735592,-122.492677082215
Taqueria Lolita,EVANS AVE: QUINT ST to RANKIN ST (1700 - 1799),750 PHELPS ST,37.7394454528691,-122.393014986698
Taqueria Lolita,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),1700 EVANS AVE,37.744889286143,-122.390971976935
Bacon Bacon,DAVIS ST: CLAY ST to WASHINGTON ST (300 - 399),250 CLAY ST,37.7957009053169,-122.398489753587
Bacon Bacon,FRONT ST: JACKSON ST to PACIFIC AVE (600 - 699),600 FRONT ST,37.7974551567824,-122.399011222821
Benny's,FLORIDA ST: 24TH ST to 25TH ST (1200 - 1299),1217 FLORIDA ST,37.7525274778762,-122.409872355397
Tacos Santana,JERROLD AVE: PHELPS ST to QUINT ST (1700 - 1799),1700 JERROLD AVE,37.7424951959228,-122.391617595098
Tacos Santana,JERROLD AVE: TOLAND ST to UPTON ST (2100 - 2230),2142 JERROLD AVE,37.7445185826649,-122.398940846628
Tacos Santana,CARROLL AVE: QUINT ST to BAY SHORE BLVD \ THORNTON AVE (2100 - 2199),2101 CARROLL AVE,37.7302216813049,-122.402978526686
"Wexler, LLC",COMMERCIAL ST: LEIDESDORFF ST to MONTGOMERY ST (543 - 599),565 COMMERCIAL ST,37.7941166557094,-122.40242362612
Mang Hang Catering,MASONIC AVE: MCALLISTER ST to FULTON ST (500 - 599),500 MASONIC AVE,37.7765500428191,-122.446307635558
"Mr. Nice, LLC",15TH ST: RHODE ISLAND ST to HENRY ADAMS ST \ KANSAS ST (200 - 299),235 15TH ST,37.7669767564703,-122.403123093929
Mang Hang Catering,CESAR CHAVEZ ST: SOUTH VAN NESS AVE to CAPP ST \ MISSION ST (3300 - 3398) -- NORTH --,3300 CESAR CHAVEZ ST,37.7485497942591,-122.416170662008
Missing Link SF,01ST ST: END to MISSION ST (72 - 99),97 01ST ST,37.7901633841957,-122.39754345993
Mang Hang Catering,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),501 HOWARD ST,0,0
Mario's Colombian and Mexican Food,SOUTH VAN NESS AVE: 26TH ST to CESAR CHAVEZ ST (1500 - 1599),1575 SOUTH VAN NESS AVE,37.7484893849775,-122.415562670854
Mang Hang Catering,BURKE AVE: END to 03RD ST (1500 - 1599),1570 BURKE AVE,37.7447521916164,-122.385679248721
Mang Hang Catering,MASONIC AVE: MCALLISTER ST to FULTON ST (500 - 599),599 MASONIC AVE,37.7807231475444,-122.447789640478
Mang Hang Catering,PINE ST: POLK ST to VAN NESS AVE (1500 - 1599),1540 PINE ST,37.7898269187633,-122.421126289056
Mang Hang Catering,THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to END (1 - 99),1 THOMAS MORE WAY,37.7100033342894,-122.471411913129
Mang Hang Catering,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1118 MISSION ST,37.7791572053411,-122.411615430519
Mang Hang Catering,02ND ST: FEDERAL ST to SOUTH PARK (519 - 548),544 02ND ST,37.7824235632947,-122.393236399398
Mang Hang Catering,02ND ST: JESSIE ST to MISSION ST (69 - 99),85 02ND ST,37.7884570288289,-122.399884160566
Mang Hang Catering,22ND ST: SAN BRUNO AVE to UTAH ST (2400 - 2449),2401 22ND ST,37.7556370098323,-122.405101930379
Lobsta Truck,01ST ST: STEVENSON ST to END (21 - 56),50 01ST ST,37.7901490737255,-122.398658184604
SAS Group LLC,,Assessors Block /Lot,0,0
Mang Hang Catering,EDDY ST: STEINER ST to PIERCE ST (1600 - 1699),1652 EDDY ST,37.7815967457602,-122.43485778844
Mang Hang Catering,VALENCIA ST: 18TH ST to 19TH ST (700 - 799),740 VALENCIA ST,37.7609571682785,-122.421824199358
Mang Hang Catering,CLAY ST: BATTERY ST to SANSOME ST (400 - 499),432 CLAY ST,37.7951055609814,-122.400876633726
Mang Hang Catering,MINNESOTA ST: 23RD ST to 24TH ST (1200 - 1299),1240 MINNESOTA ST,37.7546149514892,-122.39038813202
Mang Hang Catering,ELLIS ST: LARKIN ST to POLK ST (700 - 799),730 ELLIS ST,37.7844207368995,-122.418405351782
Mang Hang Catering,MISSION ST: ANNIE ST to 03RD ST (663 - 699),690 MISSION ST,0,0
Mang Hang Catering,TREAT AVE: DIVISION ST \ FLORIDA ST to ALAMEDA ST (1 - 99),Assessors Block 3902/Lot002,37.7683069928,-122.412000336092
A Taste of Chicago,WILLIAMS AVE: APOLLO ST to PHELPS ST \ VESTA ST (300 - 399),345 WILLIAMS AVE,37.7298054805741,-122.399247104724
Mang Hang Catering,DAVIDSON AVE: QUINT ST to RANKIN ST (1500 - 1599),1580 DAVIDSON AVE,37.7456930261204,-122.390714584821
Swell Cream & Coffee,TARAVAL ST: 36TH AVE to SUNSET BLVD (2600 - 2649),2401 36TH AVE,37.7412902847707,-122.494377920435
May Catering,16TH ST: 03RD ST to 04TH ST (500 - 599),500 16TH ST,0,0
M M Catering,MISSION ST: STEUART ST to SPEAR ST (35 - 99),98 MISSION ST,37.7933707169278,-122.394233280448
May Catering,,Assessors Block 8710/Lot003,37.7706453983908,-122.3934769372
BSM - TEST1,01ST ST: HARRISON ST \ I-80 E ON RAMP to END (400 - 450),Assessors Block 1234/Lot024,37.7711298628186,-122.443517164645
Maiwand Halal Kabob Truck,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),450 CALIFORNIA ST,37.793392977019,-122.402313503682
Fruteria Serrano,MISSION ST: OCEAN AVE to PERSIA AVE (4650 - 4699),4650 MISSION ST,37.7236612795053,-122.43594382524
